build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,  probe_time_ms,  sort_time_ms
     943615,   0.1067135982,              1,             393216,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  15.8763328552,  0.0000000000
     943615,   0.1042944025,              1,             393216,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   5.0974846840, 30.0304378510
     943615,   0.1018880022,              1,             393216,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  15.1322238922,  0.0000000000
     943615,   0.1045120018,              1,             393216,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   5.0642240524, 30.0216064453
    1870335,   0.1078143992,              1,             786432,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  17.9495998383,  0.0000000000
    1870335,   0.1079807981,              1,             786432,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   5.4989313126, 30.0633342743
    1870335,   0.1059519969,              1,             786432,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  17.9567806244,  0.0000000000
    1870335,   0.1088639984,              1,             786432,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   5.4722369194, 30.0396541595
    3722751,   0.1148031993,              1,            1572864,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  20.5489982605,  0.0000000000
    3722751,   0.1157439996,              1,            1572864,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   6.0235903740, 30.0514884949
    3722751,   0.1150079994,              1,            1572864,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  20.5428348541,  0.0000000000
    3722751,   0.1141311993,              1,            1572864,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   5.9424638748, 30.0572669983
    7427583,   0.1425983962,              1,            3145728,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  22.8879425049,  0.0000000000
    7427583,   0.1444351947,              1,            3145728,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   6.5330816269, 30.0828674316
    7427583,   0.1415743972,              1,            3145728,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  22.9062080383,  0.0000000000
    7427583,   0.1461695973,              1,            3145728,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   6.5048383713, 30.0484542847
   14837247,   0.2285823958,              1,            6291456,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  31.6554496765,  0.0000000000
   14837247,   0.2370944018,              1,            6291456,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   6.9793280602, 30.1065471649
   14837247,   0.2282943961,              1,            6291456,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  31.6241859436,  0.0000000000
   14837247,   0.2384191972,              1,            6291456,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   7.0407808304, 30.0584766388
   29657599,   0.4185727999,              1,           12582912,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,  45.7510650635,  0.0000000000
   29657599,   0.4367167993,              1,           12582912,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   7.5490431786, 30.0877632141
   29657599,   0.4175872013,              1,           12582912,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,  45.7385536194,  0.0000000000
   29657599,   0.4377280034,              1,           12582912,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   7.4624062538, 30.0620418549
   59297279,   0.7551936267,              1,           25165824,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 118.4864059448,  0.0000000000
   59297279,   0.8038464006,              1,           25165824,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   8.1511039734, 30.0877376556
   59297279,   0.7545664027,              1,           25165824,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 118.3714691162,  0.0000000000
   59297279,   0.8024384100,              1,           25165824,           1.0000000000,      build_size, 1.0000000000,         64,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   7.9662783623, 30.0853244781
  118576639,   1.3993151754,              1,           50331648,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 163.5157409668,  0.0000000000
  118576639,   1.4935232162,              1,           50331648,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   8.5979135513, 30.1258045197
  118576639,   1.4013887830,              1,           50331648,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 163.6064849854,  0.0000000000
  118576639,   1.4929792054,              1,           50331648,           1.0000000000,      build_size, 1.0000000000,         64,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   8.4672382355, 30.1103614807
  237135359,   2.7068415649,              1,          100663296,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 212.9366546631,  0.0000000000
  237135359,   2.9009600133,              1,          100663296,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,   9.3190145493, 30.1303104401
  237135359,   2.7066623829,              1,          100663296,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 213.0817016602,  0.0000000000
  237135359,   2.8988799587,              1,          100663296,           1.0000000000,      build_size, 1.0000000000,         64,               23,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   9.0216577530, 30.1305469513
  474253823,   5.3184768289,              1,          201326592,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 252.8508209229,  0.0000000000
  474253823,   5.7110528290,              1,          201326592,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,  10.1250816345, 30.1887420654
  474253823,   5.3233151093,              1,          201326592,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 252.8620574951,  0.0000000000
  474253823,   5.7046910688,              1,          201326592,           1.0000000000,      build_size, 1.0000000000,         64,               24,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,   9.5788673401, 30.1729473114
  948489727,  10.6010176897,              1,          402653184,           1.0000000000,      build_size, 1.0000000000,         64,               25,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 283.4263183594,  0.0000000000
  948489727,  11.3368255138,              1,          402653184,           1.0000000000,      build_size, 1.0000000000,         64,               25,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,  11.7241855621, 30.1731838226
  948489727,  10.6043647736,              1,          402653184,           1.0000000000,      build_size, 1.0000000000,         64,               25,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 283.2668334961,  0.0000000000
  948489727,  11.3233533204,              1,          402653184,           1.0000000000,      build_size, 1.0000000000,         64,               25,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,  10.1410497665, 30.1834239960
 1896961535,  21.6414401412,              1,          805306368,           1.0000000000,      build_size, 1.0000000000,         64,               26,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32, 309.3120971680,  0.0000000000
 1896961535,  22.5688512504,              1,          805306368,           1.0000000000,      build_size, 1.0000000000,         64,               26,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,  14.7775360107, 30.1625541687
 1896961535,  21.6501188815,              1,          805306368,           1.0000000000,      build_size, 1.0000000000,         64,               26,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32, 309.2380371094,  0.0000000000
 1896961535,  22.5663488507,              1,          805306368,           1.0000000000,      build_size, 1.0000000000,         64,               26,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,  10.8575872421, 30.1479290009
     662912,   0.0207359999,              1,             662912,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  40.5347709656,  0.0000000000
     662912,   0.0217087999,              1,             662912,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  31.5467327118, 30.0501567841
     662912,   0.0200703993,              1,             662912,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  40.2107452393,  0.0000000000
     662912,   0.0223232001,              1,             662912,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,     warpcore,           32,  31.3974655151, 30.0398971558
    1314176,   0.0331776001,              1,            1314176,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  40.5602554321,  0.0000000000
    1314176,   0.0333824001,              1,            1314176,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  31.7189823151, 30.0521598816
    1314176,   0.0333824001,              1,            1314176,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  40.3506172180,  0.0000000000
    1314176,   0.0335872002,              1,            1314176,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,     warpcore,           32,  31.5088768005, 30.0641860962
    2648704,   0.0540287994,              1,            2648704,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  40.4186691284,  0.0000000000
    2648704,   0.0542719997,              1,            2648704,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  32.0976768494, 30.0676799774
    2648704,   0.0539007999,              1,            2648704,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  40.2623794556,  0.0000000000
    2648704,   0.0545088001,              1,            2648704,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,     warpcore,           32,  31.7928188324, 30.0729854584
    5244544,   0.1013759971,              1,            5244544,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  43.3242118835,  0.0000000000
    5244544,   0.1026047975,              1,            5244544,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  32.6892868042, 30.0305023193
    5244544,   0.1008127972,              1,            5244544,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  43.4838462830,  0.0000000000
    5244544,   0.1015807971,              1,            5244544,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,     warpcore,           32,  31.8672447205, 30.0697025299
   10520192,   0.2142208040,              1,           10520192,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  52.9495811462,  0.0000000000
   10520192,   0.2177024007,              1,           10520192,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  32.6518783569, 30.0828285217
   10520192,   0.2136063993,              1,           10520192,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  52.9216445923,  0.0000000000
   10520192,   0.2181120008,              1,           10520192,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,     warpcore,           32,  32.1549247742, 30.1016384125
   21022592,   0.4616576016,              1,           21022592,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,     warpcore,           32,  59.8554107666,  0.0000000000
   21022592,   0.4722688019,              1,           21022592,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,     warpcore,           32,  33.2148742676, 30.0912895203
   21022592,   0.4562623978,              1,           21022592,           1.0000000000,      build_size, 1.0000000000,         64,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,     warpcore,           32,  59.8734008789,  0.0000000000
